id	executor	status	command_or_action	log
document-ownership-check	codex	passed	C:\Python313\python.exe ./scripts/document_ownership_check.py	C:\Users\StudioPC\Documents\Homeserver 2027 Workspace\artifacts\website_release_audit\20260330_154447\document-ownership-check.log
public-dns-check	codex	passed	C:\Python313\python.exe ./scripts/public_dns_check.py	C:\Users\StudioPC\Documents\Homeserver 2027 Workspace\artifacts\website_release_audit\20260330_154447\public-dns-check.log
public-http-redirect-check	codex	passed	C:\Python313\python.exe ./scripts/public_http_redirect_check.py	C:\Users\StudioPC\Documents\Homeserver 2027 Workspace\artifacts\website_release_audit\20260330_154447\public-http-redirect-check.log
public-https-check	codex	failed	C:\Python313\python.exe ./scripts/public_https_check.py	C:\Users\StudioPC\Documents\Homeserver 2027 Workspace\artifacts\website_release_audit\20260330_154447\public-https-check.log
public-mail-dns-check	codex	failed	C:\Python313\python.exe ./scripts/public_mail_dns_check.py	C:\Users\StudioPC\Documents\Homeserver 2027 Workspace\artifacts\website_release_audit\20260330_154447\public-mail-dns-check.log
public-edge-preview-check	codex	passed	C:\Python313\python.exe ./scripts/public_edge_preview_check.py	C:\Users\StudioPC\Documents\Homeserver 2027 Workspace\artifacts\website_release_audit\20260330_154447\public-edge-preview-check.log
website_target_system_verified	admin_only	pending_manual	Confirm the target system is the public Odoo website frontend on VM220 and not a public Odoo admin path.	-
website_content_verified	wolfi	pending_manual	Confirm the public Odoo-managed website content is the intended GbR release content.	-
public_browser_acceptance_verified	gemini_browser_ai	pending_manual	Visibly verify apex and www browser behavior for the website release scope.	-
public_radio_integration_verified	gemini_browser_ai	pending_manual	Visibly verify the public website includes the intended radio presence or player path.	-
public_mail_model_verified	admin_only	pending_manual	Confirm webmaster, franz, info and noreply are correct for the public release.	-
tls_automation_verified	admin_only	pending_manual	Confirm the chosen public TLS automation path is configured and documented.	-
spf_dkim_dmarc_verified	admin_only	pending_manual	Confirm SPF, DKIM and DMARC are all intentionally configured for release.	-
rollback_runbook_verified	admin_only	pending_manual	Confirm rollback for DNS, TLS and host-switch is complete and usable.	-
